Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
bessemer-alabama-1904,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",bessemer-alabama-1904-medium,0,,deny,manual,299.00,,true,true,,,,active
bessemer-alabama-1904,,,,,,,,Size,"Large (20⅜ × 24"")",bessemer-alabama-1904-large,0,,deny,manual,465.00,,true,true,,,,active
bessemer-alabama-1908,"Bessemer, Alabama (1908)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1908, showcasing the architectural layout and Victorian-era typography of Bessemer, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Bessemer, 1908, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",bessemer-alabama-1908-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/bessemer-alabama-1908.jpg,1,"Bessemer, Alabama - 1908 Sanborn Fire Insurance Map",active
bessemer-alabama-1908,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",bessemer-alabama-1908-medium,0,,deny,manual,299.00,,true,true,,,,active
bessemer-alabama-1908,,,,,,,,Size,"Large (20⅜ × 24"")",bessemer-alabama-1908-large,0,,deny,manual,465.00,,true,true,,,,active
bessemer-alabama-1913,"Bessemer, Alabama (1913)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1913, showcasing the architectural layout and Victorian-era typography of Bessemer, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Bessemer, 1913, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",bessemer-alabama-1913-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/bessemer-alabama-1913.jpg,1,"Bessemer, Alabama - 1913 Sanborn Fire Insurance Map",active
bessemer-alabama-1913,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",bessemer-alabama-1913-medium,0,,deny,manual,299.00,,true,true,,,,active
bessemer-alabama-1913,,,,,,,,Size,"Large (20⅜ × 24"")",bessemer-alabama-1913-large,0,,deny,manual,465.00,,true,true,,,,active
birmingham-alabama-1885,"Birmingham, Alabama (1885)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1885, showcasing the architectural layout and Victorian-era typography of Birmingham, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Birmingham, 1885, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",birmingham-alabama-1885-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/birmingham-alabama-1885.jpg,1,"Birmingham, Alabama - 1885 Sanborn Fire Insurance Map",active
birmingham-alabama-1885,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",birmingham-alabama-1885-medium,0,,deny,manual,299.00,,true,true,,,,active
birmingham-alabama-1885,,,,,,,,Size,"Large (20⅜ × 24"")",birmingham-alabama-1885-large,0,,deny,manual,465.00,,true,true,,,,active
decatur-alabama-1888,"Decatur, Alabama (1888)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1888, showcasing the architectural layout and Victorian-era typography of Decatur, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Decatur, 1888, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",decatur-alabama-1888-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/decatur-alabama-1888.jpg,1,"Decatur, Alabama - 1888 Sanborn Fire Insurance Map",active
decatur-alabama-1888,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",decatur-alabama-1888-medium,0,,deny,manual,299.00,,true,true,,,,active
decatur-alabama-1888,,,,,,,,Size,"Large (20⅜ × 24"")",decatur-alabama-1888-large,0,,deny,manual,465.00,,true,true,,,,active
decatur-alabama-1894,"Decatur, Alabama (1894)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1894, showcasing the architectural layout and Victorian-era typography of Decatur, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Decatur, 1894, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",decatur-alabama-1894-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/decatur-alabama-1894.jpg,1,"Decatur, Alabama - 1894 Sanborn Fire Insurance Map",active
decatur-alabama-1894,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",decatur-alabama-1894-medium,0,,deny,manual,299.00,,true,true,,,,active
decatur-alabama-1894,,,,,,,,Size,"Large (20⅜ × 24"")",decatur-alabama-1894-large,0,,deny,manual,465.00,,true,true,,,,active
decatur-alabama-1898,"Decatur, Alabama (1898)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1898, showcasing the architectural layout and Victorian-era typography of Decatur, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Decatur, 1898, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",decatur-alabama-1898-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/decatur-alabama-1898.jpg,1,"Decatur, Alabama - 1898 Sanborn Fire Insurance Map",active
decatur-alabama-1898,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",decatur-alabama-1898-medium,0,,deny,manual,299.00,,true,true,,,,active
decatur-alabama-1898,,,,,,,,Size,"Large (20⅜ × 24"")",decatur-alabama-1898-large,0,,deny,manual,465.00,,true,true,,,,active
decatur-alabama-1903,"Decatur, Alabama (1903)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1903, showcasing the architectural layout and Victorian-era typography of Decatur, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Decatur, 1903, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",decatur-alabama-1903-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/decatur-alabama-1903.jpg,1,"Decatur, Alabama - 1903 Sanborn Fire Insurance Map",active
decatur-alabama-1903,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",decatur-alabama-1903-medium,0,,deny,manual,299.00,,true,true,,,,active
decatur-alabama-1903,,,,,,,,Size,"Large (20⅜ × 24"")",decatur-alabama-1903-large,0,,deny,manual,465.00,,true,true,,,,active
decatur-alabama-1908,"Decatur, Alabama (1908)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1908, showcasing the architectural layout and Victorian-era typography of Decatur, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Decatur, 1908, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",decatur-alabama-1908-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/decatur-alabama-1908.jpg,1,"Decatur, Alabama - 1908 Sanborn Fire Insurance Map",active
decatur-alabama-1908,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",decatur-alabama-1908-medium,0,,deny,manual,299.00,,true,true,,,,active
decatur-alabama-1908,,,,,,,,Size,"Large (20⅜ × 24"")",decatur-alabama-1908-large,0,,deny,manual,465.00,,true,true,,,,active
decatur-alabama-1913,"Decatur, Alabama (1913)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1913, showcasing the architectural layout and Victorian-era typography of Decatur, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Decatur, 1913, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",decatur-alabama-1913-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/decatur-alabama-1913.jpg,1,"Decatur, Alabama - 1913 Sanborn Fire Insurance Map",active
decatur-alabama-1913,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",decatur-alabama-1913-medium,0,,deny,manual,299.00,,true,true,,,,active
decatur-alabama-1913,,,,,,,,Size,"Large (20⅜ × 24"")",decatur-alabama-1913-large,0,,deny,manual,465.00,,true,true,,,,active
dothan-alabama-1912,"Dothan, Alabama (1912)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1912, showcasing the architectural layout and Victorian-era typography of Dothan, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Dothan, 1912, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",dothan-alabama-1912-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/dothan-alabama-1912.jpg,1,"Dothan, Alabama - 1912 Sanborn Fire Insurance Map",active
dothan-alabama-1912,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",dothan-alabama-1912-medium,0,,deny,manual,299.00,,true,true,,,,active
dothan-alabama-1912,,,,,,,,Size,"Large (20⅜ × 24"")",dothan-alabama-1912-large,0,,deny,manual,465.00,,true,true,,,,active
dothan-alabama-1924,"Dothan, Alabama (1924)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1924, showcasing the architectural layout and Victorian-era typography of Dothan, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Dothan, 1924, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",dothan-alabama-1924-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/dothan-alabama-1924.jpg,1,"Dothan, Alabama - 1924 Sanborn Fire Insurance Map",active
dothan-alabama-1924,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",dothan-alabama-1924-medium,0,,deny,manual,299.00,,true,true,,,,active
dothan-alabama-1924,,,,,,,,Size,"Large (20⅜ × 24"")",dothan-alabama-1924-large,0,,deny,manual,465.00,,true,true,,,,active
eufaula-alabama-1885,"Eufaula, Alabama (1885)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1885, showcasing the architectural layout and Victorian-era typography of Eufaula, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Eufaula, 1885, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",eufaula-alabama-1885-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/eufaula-alabama-1885.jpg,1,"Eufaula, Alabama - 1885 Sanborn Fire Insurance Map",active
eufaula-alabama-1885,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",eufaula-alabama-1885-medium,0,,deny,manual,299.00,,true,true,,,,active
eufaula-alabama-1885,,,,,,,,Size,"Large (20⅜ × 24"")",eufaula-alabama-1885-large,0,,deny,manual,465.00,,true,true,,,,active
florence-alabama-1889,"Florence, Alabama (1889)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1889, showcasing the architectural layout and Victorian-era typography of Florence, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Florence, 1889, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",florence-alabama-1889-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/florence-alabama-1889.jpg,1,"Florence, Alabama - 1889 Sanborn Fire Insurance Map",active
florence-alabama-1889,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",florence-alabama-1889-medium,0,,deny,manual,299.00,,true,true,,,,active
florence-alabama-1889,,,,,,,,Size,"Large (20⅜ × 24"")",florence-alabama-1889-large,0,,deny,manual,465.00,,true,true,,,,active
florence-alabama-1894,"Florence, Alabama (1894)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1894, showcasing the architectural layout and Victorian-era typography of Florence, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Florence, 1894, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",florence-alabama-1894-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/florence-alabama-1894.jpg,1,"Florence, Alabama - 1894 Sanborn Fire Insurance Map",active
florence-alabama-1894,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",florence-alabama-1894-medium,0,,deny,manual,299.00,,true,true,,,,active
florence-alabama-1894,,,,,,,,Size,"Large (20⅜ × 24"")",florence-alabama-1894-large,0,,deny,manual,465.00,,true,true,,,,active
florence-alabama-1910,"Florence, Alabama (1910)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1910, showcasing the architectural layout and Victorian-era typography of Florence, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Florence, 1910, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",florence-alabama-1910-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/florence-alabama-1910.jpg,1,"Florence, Alabama - 1910 Sanborn Fire Insurance Map",active
florence-alabama-1910,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",florence-alabama-1910-medium,0,,deny,manual,299.00,,true,true,,,,active
florence-alabama-1910,,,,,,,,Size,"Large (20⅜ × 24"")",florence-alabama-1910-large,0,,deny,manual,465.00,,true,true,,,,active
gadsden-alabama-1885,"Gadsden, Alabama (1885)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1885, showcasing the architectural layout and Victorian-era typography of Gadsden, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Gadsden, 1885, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",gadsden-alabama-1885-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/gadsden-alabama-1885.jpg,1,"Gadsden, Alabama - 1885 Sanborn Fire Insurance Map",active
gadsden-alabama-1885,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",gadsden-alabama-1885-medium,0,,deny,manual,299.00,,true,true,,,,active
gadsden-alabama-1885,,,,,,,,Size,"Large (20⅜ × 24"")",gadsden-alabama-1885-large,0,,deny,manual,465.00,,true,true,,,,active
gadsden-alabama-1888,"Gadsden, Alabama (1888)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1888, showcasing the architectural layout and Victorian-era typography of Gadsden, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Gadsden, 1888, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",gadsden-alabama-1888-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/gadsden-alabama-1888.jpg,1,"Gadsden, Alabama - 1888 Sanborn Fire Insurance Map",active
gadsden-alabama-1888,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",gadsden-alabama-1888-medium,0,,deny,manual,299.00,,true,true,,,,active
gadsden-alabama-1888,,,,,,,,Size,"Large (20⅜ × 24"")",gadsden-alabama-1888-large,0,,deny,manual,465.00,,true,true,,,,active
gadsden-alabama-1894,"Gadsden, Alabama (1894)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1894, showcasing the architectural layout and Victorian-era typography of Gadsden, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Gadsden, 1894, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",gadsden-alabama-1894-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/gadsden-alabama-1894.jpg,1,"Gadsden, Alabama - 1894 Sanborn Fire Insurance Map",active
gadsden-alabama-1894,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",gadsden-alabama-1894-medium,0,,deny,manual,299.00,,true,true,,,,active
gadsden-alabama-1894,,,,,,,,Size,"Large (20⅜ × 24"")",gadsden-alabama-1894-large,0,,deny,manual,465.00,,true,true,,,,active
gadsden-alabama-1910,"Gadsden, Alabama (1910)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1910, showcasing the architectural layout and Victorian-era typography of Gadsden, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Gadsden, 1910, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",gadsden-alabama-1910-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/gadsden-alabama-1910.jpg,1,"Gadsden, Alabama - 1910 Sanborn Fire Insurance Map",active
gadsden-alabama-1910,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",gadsden-alabama-1910-medium,0,,deny,manual,299.00,,true,true,,,,active
gadsden-alabama-1910,,,,,,,,Size,"Large (20⅜ × 24"")",gadsden-alabama-1910-large,0,,deny,manual,465.00,,true,true,,,,active
gadsden-alabama-1926,"Gadsden, Alabama (1926)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1926, showcasing the architectural layout and Victorian-era typography of Gadsden, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Gadsden, 1926, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",gadsden-alabama-1926-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/gadsden-alabama-1926.jpg,1,"Gadsden, Alabama - 1926 Sanborn Fire Insurance Map",active
gadsden-alabama-1926,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",gadsden-alabama-1926-medium,0,,deny,manual,299.00,,true,true,,,,active
gadsden-alabama-1926,,,,,,,,Size,"Large (20⅜ × 24"")",gadsden-alabama-1926-large,0,,deny,manual,465.00,,true,true,,,,active
huntsville-alabama-1894,"Huntsville, Alabama (1894)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1894, showcasing the architectural layout and Victorian-era typography of Huntsville, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Huntsville, 1894, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",huntsville-alabama-1894-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/huntsville-alabama-1894.jpg,1,"Huntsville, Alabama - 1894 Sanborn Fire Insurance Map",active
huntsville-alabama-1894,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",huntsville-alabama-1894-medium,0,,deny,manual,299.00,,true,true,,,,active
huntsville-alabama-1894,,,,,,,,Size,"Large (20⅜ × 24"")",huntsville-alabama-1894-large,0,,deny,manual,465.00,,true,true,,,,active
huntsville-alabama-1898,"Huntsville, Alabama (1898)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1898, showcasing the architectural layout and Victorian-era typography of Huntsville, Alabama.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork,Framed Print,"Alabama, Huntsville, 1898, cover, Sanborn Map, Fire Insurance Map, Vintage Map",true,Size,"Small (10⅛ × 12"")",huntsville-alabama-1898-small,0,,deny,manual,139.00,,true,true,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Alabama/huntsville-alabama-1898.jpg,1,"Huntsville, Alabama - 1898 Sanborn Fire Insurance Map",active
huntsville-alabama-1898,,,,,,,,Size,"Medium (15³⁄₁₆ × 18"")",huntsville-alabama-1898-medium,0,,deny,manual,299.00,,true,true,,,,active
huntsville-alabama-1898,,,,,,,,Size,"Large (20⅜ × 24"")",huntsville-alabama-1898-large,0,,deny,manual,465.00,,true,true,,,,active
