Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
print-savannah-georgia-1884,"Savannah, Georgia (1884)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1884, showcasing the architectural layout and Victorian-era typography of Savannah, Georgia.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Georgia, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",savannah-georgia-1884-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Georgia/savannah-georgia-1884.jpg,1,"Savannah, Georgia - 1884 Sanborn Map",active
print-savannah-georgia-1884,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",savannah-georgia-1884-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-savannah-georgia-1884,,,,,,,TRUE,Size,"Large (20¼ × 24"")",savannah-georgia-1884-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-evansville-indiana-1884,"Evansville, Indiana (1884)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1884, showcasing the architectural layout and Victorian-era typography of Evansville, Indiana.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Indiana, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",evansville-indiana-1884-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Indiana/evansville-indiana-1884.jpg,1,"Evansville, Indiana - 1884 Sanborn Map",active
print-evansville-indiana-1884,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",evansville-indiana-1884-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-evansville-indiana-1884,,,,,,,TRUE,Size,"Large (20¼ × 24"")",evansville-indiana-1884-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-south-bend-indiana-1885,"South Bend, Indiana (1885)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1885, showcasing the architectural layout and Victorian-era typography of South Bend, Indiana.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Indiana, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",south-bend-indiana-1885-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Indiana/south-bend-indiana-1885.jpg,1,"South Bend, Indiana - 1885 Sanborn Map",active
print-south-bend-indiana-1885,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",south-bend-indiana-1885-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-south-bend-indiana-1885,,,,,,,TRUE,Size,"Large (20¼ × 24"")",south-bend-indiana-1885-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-terre-haute-indiana-1886,"Terre Haute, Indiana (1886)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1886, showcasing the architectural layout and Victorian-era typography of Terre Haute, Indiana.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Indiana, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",terre-haute-indiana-1886-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Indiana/terre-haute-indiana-1886.jpg,1,"Terre Haute, Indiana - 1886 Sanborn Map",active
print-terre-haute-indiana-1886,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",terre-haute-indiana-1886-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-terre-haute-indiana-1886,,,,,,,TRUE,Size,"Large (20¼ × 24"")",terre-haute-indiana-1886-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-cedar-rapids-iowa-1884,"Cedar Rapids, Iowa (1884)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1884, showcasing the architectural layout and Victorian-era typography of Cedar Rapids, Iowa.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Iowa, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",cedar-rapids-iowa-1884-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Iowa/cedar-rapids-iowa-1884.jpg,1,"Cedar Rapids, Iowa - 1884 Sanborn Map",active
print-cedar-rapids-iowa-1884,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",cedar-rapids-iowa-1884-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-cedar-rapids-iowa-1884,,,,,,,TRUE,Size,"Large (20¼ × 24"")",cedar-rapids-iowa-1884-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-davenport-iowa-1886,"Davenport, Iowa (1886)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1886, showcasing the architectural layout and Victorian-era typography of Davenport, Iowa.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Iowa, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",davenport-iowa-1886-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Iowa/davenport-iowa-1886.jpg,1,"Davenport, Iowa - 1886 Sanborn Map",active
print-davenport-iowa-1886,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",davenport-iowa-1886-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-davenport-iowa-1886,,,,,,,TRUE,Size,"Large (20¼ × 24"")",davenport-iowa-1886-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-sioux-city-iowa-1884,"Sioux City, Iowa (1884)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1884, showcasing the architectural layout and Victorian-era typography of Sioux City, Iowa.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Iowa, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",sioux-city-iowa-1884-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Iowa/sioux-city-iowa-1884.jpg,1,"Sioux City, Iowa - 1884 Sanborn Map",active
print-sioux-city-iowa-1884,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",sioux-city-iowa-1884-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-sioux-city-iowa-1884,,,,,,,TRUE,Size,"Large (20¼ × 24"")",sioux-city-iowa-1884-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-kansas-city-kansas-1889,"Kansas City, Kansas (1889)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1889, showcasing the architectural layout and Victorian-era typography of Kansas City, Kansas.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Kansas, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",kansas-city-kansas-1889-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Kansas/kansas-city-kansas-1889.jpg,1,"Kansas City, Kansas - 1889 Sanborn Map",active
print-kansas-city-kansas-1889,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",kansas-city-kansas-1889-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-kansas-city-kansas-1889,,,,,,,TRUE,Size,"Large (20¼ × 24"")",kansas-city-kansas-1889-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-topeka-kansas-1883,"Topeka, Kansas (1883)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1883, showcasing the architectural layout and Victorian-era typography of Topeka, Kansas.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Kansas, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",topeka-kansas-1883-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Kansas/topeka-kansas-1883.jpg,1,"Topeka, Kansas - 1883 Sanborn Map",active
print-topeka-kansas-1883,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",topeka-kansas-1883-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-topeka-kansas-1883,,,,,,,TRUE,Size,"Large (20¼ × 24"")",topeka-kansas-1883-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-covington-kentucky-1886,"Covington, Kentucky (1886)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1886, showcasing the architectural layout and Victorian-era typography of Covington, Kentucky.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Kentucky, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",covington-kentucky-1886-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Kentucky/covington-kentucky-1886.jpg,1,"Covington, Kentucky - 1886 Sanborn Map",active
print-covington-kentucky-1886,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",covington-kentucky-1886-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-covington-kentucky-1886,,,,,,,TRUE,Size,"Large (20¼ × 24"")",covington-kentucky-1886-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-lexington-kentucky-1886,"Lexington, Kentucky (1886)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1886, showcasing the architectural layout and Victorian-era typography of Lexington, Kentucky.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Kentucky, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",lexington-kentucky-1886-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Kentucky/lexington-kentucky-1886.jpg,1,"Lexington, Kentucky - 1886 Sanborn Map",active
print-lexington-kentucky-1886,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",lexington-kentucky-1886-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-lexington-kentucky-1886,,,,,,,TRUE,Size,"Large (20¼ × 24"")",lexington-kentucky-1886-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-newport-kentucky-1886,"Newport, Kentucky (1886)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1886, showcasing the architectural layout and Victorian-era typography of Newport, Kentucky.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Kentucky, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",newport-kentucky-1886-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Kentucky/newport-kentucky-1886.jpg,1,"Newport, Kentucky - 1886 Sanborn Map",active
print-newport-kentucky-1886,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",newport-kentucky-1886-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-newport-kentucky-1886,,,,,,,TRUE,Size,"Large (20¼ × 24"")",newport-kentucky-1886-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-baton-rouge-louisiana-1885,"Baton Rouge, Louisiana (1885)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1885, showcasing the architectural layout and Victorian-era typography of Baton Rouge, Louisiana.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Louisiana, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",baton-rouge-louisiana-1885-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Louisiana/baton-rouge-louisiana-1885.jpg,1,"Baton Rouge, Louisiana - 1885 Sanborn Map",active
print-baton-rouge-louisiana-1885,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",baton-rouge-louisiana-1885-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-baton-rouge-louisiana-1885,,,,,,,TRUE,Size,"Large (20¼ × 24"")",baton-rouge-louisiana-1885-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-shreveport-louisiana-1885,"Shreveport, Louisiana (1885)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1885, showcasing the architectural layout and Victorian-era typography of Shreveport, Louisiana.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Louisiana, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",shreveport-louisiana-1885-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Louisiana/shreveport-louisiana-1885.jpg,1,"Shreveport, Louisiana - 1885 Sanborn Map",active
print-shreveport-louisiana-1885,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",shreveport-louisiana-1885-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-shreveport-louisiana-1885,,,,,,,TRUE,Size,"Large (20¼ × 24"")",shreveport-louisiana-1885-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-boston-massachusetts-1867,"Boston, Massachusetts (1867)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1867, showcasing the architectural layout and Victorian-era typography of Boston, Massachusetts.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Massachusetts, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",boston-massachusetts-1867-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Massachusetts/boston-massachusetts-1867.jpg,1,"Boston, Massachusetts - 1867 Sanborn Map",active
print-boston-massachusetts-1867,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",boston-massachusetts-1867-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-boston-massachusetts-1867,,,,,,,TRUE,Size,"Large (20¼ × 24"")",boston-massachusetts-1867-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-detroit-michigan-1889,"Detroit, Michigan (1889)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1889, showcasing the architectural layout and Victorian-era typography of Detroit, Michigan.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Michigan, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",detroit-michigan-1889-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Michigan/detroit-michigan-1889.jpg,1,"Detroit, Michigan - 1889 Sanborn Map",active
print-detroit-michigan-1889,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",detroit-michigan-1889-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-detroit-michigan-1889,,,,,,,TRUE,Size,"Large (20¼ × 24"")",detroit-michigan-1889-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-duluth-minnesota-1884,"Duluth, Minnesota (1884)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1884, showcasing the architectural layout and Victorian-era typography of Duluth, Minnesota.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Minnesota, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",duluth-minnesota-1884-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Minnesota/duluth-minnesota-1884.jpg,1,"Duluth, Minnesota - 1884 Sanborn Map",active
print-duluth-minnesota-1884,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",duluth-minnesota-1884-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-duluth-minnesota-1884,,,,,,,TRUE,Size,"Large (20¼ × 24"")",duluth-minnesota-1884-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
print-minneapolis-minnesota-1885,"Minneapolis, Minnesota (1885)","<p>A beautifully preserved Sanborn Fire Insurance Map from 1885, showcasing the architectural layout and Victorian-era typography of Minneapolis, Minnesota.</p><p>Each print is produced on archival-quality paper and custom framed with a Gallery Natural frame and single mat.</p>",Sanborn Fire Maps,"Posters, Prints, & Visual Artwork",Framed Print,"Vintage Map, Sanborn Map, Minnesota, Framed Print",TRUE,Size,"Small (10⅛ × 12"")",minneapolis-minnesota-1885-small,1000,,,deny,manual,139.00,,TRUE,TRUE,https://pub-23faac8a63b74289910a34142d5d1899.r2.dev/medium/_Minnesota/minneapolis-minnesota-1885.jpg,1,"Minneapolis, Minnesota - 1885 Sanborn Map",active
print-minneapolis-minnesota-1885,,,,,,,TRUE,Size,"Medium (15¼ × 18"")",minneapolis-minnesota-1885-medium,1000,,,deny,manual,299.00,,TRUE,TRUE,,,,active
print-minneapolis-minnesota-1885,,,,,,,TRUE,Size,"Large (20¼ × 24"")",minneapolis-minnesota-1885-large,1000,,,deny,manual,465.00,,TRUE,TRUE,,,,active
